move_index,move_const,sounds
0,MOVE_UNNAMED,se_m_double_slap
1,MOVE_POUND,se_m_double_slap
2,MOVE_KARATE_CHOP,se_m_double_team|se_m_comet_punch
3,MOVE_DOUBLESLAP,
4,MOVE_BULLET_PUNCH,se_m_vital_throw2|se_m_vital_throw2|se_m_vital_throw2
5,MOVE_MEGA_PUNCH,se_m_mega_kick|se_m_vital_throw2
6,MOVE_PAY_DAY,se_m_razor_wind2|se_m_pay_day
7,MOVE_FIRE_PUNCH,se_m_flame_wheel|se_m_fire_punch
8,MOVE_ICE_PUNCH,se_m_string_shot|se_m_comet_punch
9,MOVE_THUNDERPUNCH,se_m_comet_punch|se_m_tri_attack2
10,MOVE_SCRATCH,se_m_scratch
11,MOVE_VICEGRIP,se_m_vicegrip
12,MOVE_FLARE_BLITZ,se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel2
13,MOVE_SHADOW_CLAW,se_m_razor_wind|se_m_razor_wind
14,MOVE_SWORDS_DANCE,se_m_swords_dance
15,MOVE_MEMENTO,se_m_psybeam|se_m_psybeam2|se_m_psybeam
16,MOVE_GUST,se_m_gust|se_m_gust2
17,MOVE_WING_ATTACK,
18,MOVE_HURRICANE,se_m_gust|se_m_gust2
19,MOVE_FLY,
20,MOVE_BIND,
21,MOVE_SLAM,se_m_comet_punch|se_m_mega_kick2
22,MOVE_VINE_WHIP,se_m_jump_kick|se_m_scratch
23,MOVE_STOMP,se_m_double_team|se_m_mega_kick2
24,MOVE_DOUBLE_KICK,se_m_vital_throw2
25,MOVE_MEGA_KICK,se_m_mega_kick|se_m_mega_kick2
26,MOVE_JUMP_KICK,se_m_jump_kick|se_m_comet_punch
27,MOVE_ROLLING_KICK,se_m_double_team|se_m_double_team|se_m_vital_throw2
28,MOVE_SAND_ATTACK,se_m_sand_attack
29,MOVE_HEADBUTT,se_m_headbutt|se_m_vital_throw2
30,MOVE_HORN_ATTACK,se_m_headbutt|se_m_horn_attack
31,MOVE_FURY_ATTACK,
32,MOVE_DRILL_RUN,se_m_headbutt|se_bang|se_m_horn_attack|se_m_horn_attack|se_m_horn_attack|se_m_horn_attack|se_m_horn_attack|se_m_horn_attack|se_m_horn_attack|se_m_horn_attack|se_m_horn_attack|se_m_horn_attack|se_m_horn_attack
33,MOVE_TACKLE,se_m_comet_punch
34,MOVE_BODY_SLAM,se_m_take_down
35,MOVE_WRAP,
36,MOVE_TAKE_DOWN,se_m_take_down|se_m_mega_kick2
37,MOVE_THRASH,se_m_comet_punch|se_m_vital_throw2|se_m_mega_kick2
38,MOVE_DOUBLE_EDGE,se_m_swift|se_m_swagger|se_m_swagger|se_m_mega_kick2
39,MOVE_TAIL_WHIP,
40,MOVE_POISON_STING,se_m_razor_wind2|se_m_horn_attack
41,MOVE_QUIVER_DANCE,se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team
42,MOVE_PIN_MISSILE,se_m_jump_kick|se_m_horn_attack|se_m_horn_attack|se_m_horn_attack
43,MOVE_LEER,se_m_leer
44,MOVE_BITE,se_m_bite
45,MOVE_GROWL,
46,MOVE_SNARL,
47,MOVE_SING,se_m_sing
48,MOVE_SUPERSONIC,
49,MOVE_SONICBOOM,
50,MOVE_DISABLE,se_m_detect
51,MOVE_ACID,se_m_bubble3|se_m_bubble3|se_m_bubble3|se_m_bubble|se_m_bubble|se_m_bubble|se_m_bubble|se_m_bubble
52,MOVE_EMBER,se_m_flame_wheel
53,MOVE_FLAMETHROWER,se_m_flamethrower
54,MOVE_MIST,
55,MOVE_WATER_GUN,se_m_bubble|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer
56,MOVE_HYDRO_PUMP,se_m_hydro_pump
57,MOVE_SURF,se_m_surf
58,MOVE_ICE_BEAM,
59,MOVE_BLIZZARD,se_m_blizzard|se_m_blizzard2
60,MOVE_PSYBEAM,se_m_psybeam
61,MOVE_BUBBLEBEAM,
62,MOVE_AURORA_BEAM,se_m_bubble_beam
63,MOVE_HYPER_BEAM,se_m_hyper_beam
64,MOVE_PECK,se_m_horn_attack
65,MOVE_DRILL_PECK,se_m_headbutt
66,MOVE_SUBMISSION,se_m_double_team|se_m_comet_punch|se_m_double_team|se_m_comet_punch|se_m_double_team|se_m_comet_punch|se_m_double_team|se_m_comet_punch|se_m_double_team|se_m_comet_punch
67,MOVE_LOW_KICK,se_m_vital_throw2
68,MOVE_COUNTER,se_m_vital_throw|se_m_vital_throw2|se_m_vital_throw2|se_m_vital_throw2
69,MOVE_SEISMIC_TOSS,se_m_sky_uppercut
70,MOVE_RAGE_FIST,se_m_swagger2|se_m_swagger2|se_m_vital_throw2
71,MOVE_ABSORB,se_m_absorb
72,MOVE_MEGA_DRAIN,se_m_absorb|se_m_bubble3|se_m_bubble3|se_m_bubble3|se_m_bubble3|se_m_bubble3|se_m_bubble3|se_m_bubble3|se_m_bubble3
73,MOVE_LEECH_SEED,se_m_poison_powder|se_m_poison_powder|se_m_poison_powder
74,MOVE_GROWTH,
75,MOVE_RAZOR_LEAF,se_m_razor_wind2|se_m_razor_wind
76,MOVE_SOLAR_BEAM,
77,MOVE_POISONPOWDER,
78,MOVE_STUN_SPORE,
79,MOVE_SLEEP_POWDER,
80,MOVE_PETAL_DANCE,se_m_petal_dance|se_m_mega_kick2
81,MOVE_STRING_SHOT,se_m_string_shot2
82,MOVE_DRAGON_RUSH,se_m_dragon_rage|se_m_comet_punch|se_m_mega_kick2|se_m_flame_wheel2
83,MOVE_FIRE_SPIN,se_m_sacred_fire2
84,MOVE_THUNDERSHOCK,se_m_thunderbolt
85,MOVE_THUNDERBOLT,se_m_thunderbolt|se_m_thunderbolt|se_m_thunderbolt|se_m_hyper_beam|se_m_thunderbolt2
86,MOVE_THUNDER_WAVE,se_m_thunder_wave
87,MOVE_THUNDER,se_m_thunder_wave|se_m_thunder_wave|se_m_thunder_wave|se_m_tri_attack2
88,MOVE_ROCK_THROW,se_m_rock_throw|se_m_rock_throw|se_m_rock_throw|se_m_rock_throw|se_m_rock_throw
89,MOVE_EARTHQUAKE,se_m_earthquake
90,MOVE_EARTH_POWER,se_m_earthquake
91,MOVE_DIG,
92,MOVE_TOXIC,
93,MOVE_CONFUSION,se_m_supersonic
94,MOVE_PSYCHIC,
95,MOVE_HYPNOSIS,
96,MOVE_MEDITATE,se_m_headbutt|se_m_take_down
97,MOVE_AGILITY,se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team
98,MOVE_QUICK_ATTACK,se_m_jump_kick|se_m_vital_throw2
99,MOVE_RAGE,se_m_swagger2|se_m_swagger2|se_m_vital_throw2
100,MOVE_TELEPORT,se_m_teleport
101,MOVE_NIGHT_SHADE,se_m_psybeam|se_m_leer
102,MOVE_MIMIC,se_m_minimize|se_m_take_down
103,MOVE_SCREECH,
104,MOVE_DOUBLE_TEAM,se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team
105,MOVE_RECOVER,
106,MOVE_HARDEN,
107,MOVE_MINIMIZE,
108,MOVE_SMOKESCREEN,se_m_double_team|se_m_sand_attack
109,MOVE_CONFUSE_RAY,se_m_string_shot2
110,MOVE_WITHDRAW,se_m_headbutt
111,MOVE_DEFENSE_CURL,
112,MOVE_BARRIER,se_m_barrier
113,MOVE_LIGHT_SCREEN,se_m_reflect
114,MOVE_HAZE,se_m_haze
115,MOVE_REFLECT,se_m_reflect
116,MOVE_FOCUS_ENERGY,se_m_dragon_rage
117,MOVE_BIDE,se_m_comet_punch|se_m_comet_punch|se_m_comet_punch
118,MOVE_METRONOME,se_m_metronome
119,MOVE_MIRROR_MOVE,se_m_double_slap
120,MOVE_SELFDESTRUCT,
121,MOVE_EGG_BOMB,se_m_tail_whip|se_m_self_destruct|se_m_self_destruct|se_m_self_destruct|se_m_self_destruct|se_m_self_destruct
122,MOVE_LICK,se_m_lick
123,MOVE_SMOG,
124,MOVE_SLUDGE,se_m_bubble3
125,MOVE_BONE_CLUB,se_m_bonemerang|se_m_vital_throw2
126,MOVE_FIRE_BLAST,
127,MOVE_WATERFALL,se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer
128,MOVE_CLAMP,se_m_vicegrip
129,MOVE_SWIFT,se_m_swift|se_m_swift|se_m_swift|se_m_swift|se_m_swift
130,MOVE_ZEN_HEADBUTT,se_m_take_down|se_m_mega_kick2
131,MOVE_ELECTROSHOCK,se_m_solar_beam
132,MOVE_CONSTRICT,se_m_bind
133,MOVE_AMNESIA,se_m_metronome
134,MOVE_AURA_SPHERE,se_m_sand_attack
135,MOVE_SOFTBOILED,se_m_tail_whip|se_m_horn_attack
136,MOVE_HI_JUMP_KICK,se_m_jump_kick|se_m_vital_throw2
137,MOVE_GLARE,se_m_psybeam2|se_m_leer
138,MOVE_DREAM_EATER,se_m_psybeam|se_m_minimize
139,MOVE_POISON_GAS,se_m_mist|se_m_mist|se_m_mist|se_m_mist|se_m_mist|se_m_mist
140,MOVE_BUG_BUZZ,se_m_uproar|se_m_uproar|se_m_uproar
141,MOVE_LEECH_LIFE,se_m_absorb
142,MOVE_LOVELY_KISS,se_m_psybeam2|se_m_attract
143,MOVE_BRAVE_BIRD,
144,MOVE_ABYSS_MIASMA,se_m_heat_wave
145,MOVE_AQUA_JET,se_m_headbutt|se_m_dive|se_m_explosion
146,MOVE_DIZZY_PUNCH,se_m_comet_punch|se_m_vital_throw2
147,MOVE_SPORE,
148,MOVE_MET_ASSAULT,se_m_mega_kick|se_m_swagger|se_m_mega_kick2
149,MOVE_DARK_PULSE,se_m_psybeam|se_m_psybeam2|se_m_psybeam
150,MOVE_SPLASH,
151,MOVE_ACID_ARMOR,se_m_acid_armor
152,MOVE_CRABHAMMER,se_m_vital_throw2
153,MOVE_EXPLOSION,
154,MOVE_FURY_SWIPES,se_m_scratch|se_m_scratch
155,MOVE_BONEMERANG,se_m_bonemerang|se_m_horn_attack|se_m_vital_throw
156,MOVE_REST,se_m_snore
157,MOVE_ROCK_SLIDE,se_m_rock_throw|se_m_rock_throw|se_m_rock_throw|se_m_rock_throw
158,MOVE_HYPER_FANG,se_m_bite
159,MOVE_FLASH_CANNON,se_m_string_shot|se_m_sand_attack|se_m_haze
160,MOVE_HEAL,se_m_milk_drink|se_shiny
161,MOVE_TRI_ATTACK,se_m_tri_attack|se_m_tri_attack|se_m_flame_wheel2|se_m_tri_attack2
162,MOVE_SUPER_FANG,se_m_dragon_rage|se_m_bite
163,MOVE_SLASH,se_m_razor_wind|se_m_razor_wind
164,MOVE_SUBSTITUTE,se_m_attract
165,MOVE_STRUGGLE,se_m_mega_kick2
166,MOVE_ABYSS_WRATH,se_m_self_destruct|se_m_self_destruct|se_m_self_destruct|se_m_self_destruct|se_m_self_destruct
167,MOVE_TRIPLE_KICK,se_m_vital_throw2
168,MOVE_THIEF,se_m_vital_throw
169,MOVE_ELECTROWEB,se_m_string_shot2
170,MOVE_MIND_READER,se_m_confuse_ray|se_m_leer
171,MOVE_NIGHTMARE,se_m_nightmare|se_m_nightmare
172,MOVE_FLAME_WHEEL,se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel2
173,MOVE_SNORE,
174,MOVE_CURSE,se_m_nightmare
175,MOVE_FLAIL,se_m_mega_kick2
176,MOVE_CONVERSION_2,se_m_barrier|se_m_swift|se_m_swift|se_m_swift|se_m_swift|se_m_swift|se_m_swift|se_m_swift|se_m_swift
177,MOVE_AEROBLAST,se_m_razor_wind
178,MOVE_COTTONSPORE,
179,MOVE_REVERSAL,se_m_detect|se_m_reversal|se_m_vital_throw2
180,MOVE_HEX,se_m_psybeam
181,MOVE_POWDER_SNOW,se_m_gust|se_m_gust2
182,MOVE_PROTECT,se_m_reflect
183,MOVE_MACH_PUNCH,se_m_jump_kick|se_m_comet_punch
184,MOVE_SCARY_FACE,se_m_psybeam|se_m_leer|se_m_string_shot2
185,MOVE_FEINT_ATTACK,se_m_faint_attack|se_m_vital_throw2
186,MOVE_SWEET_KISS,se_m_heal_bell|se_m_heal_bell|se_m_heal_bell|se_m_attract
187,MOVE_BELLY_DRUM,se_m_belly_drum|se_m_belly_drum|se_m_belly_drum|se_m_belly_drum|se_m_belly_drum|se_m_belly_drum
188,MOVE_SLUDGE_BOMB,se_m_dig|se_m_dig|se_m_dig
189,MOVE_MUD_SLAP,se_m_sand_attack
190,MOVE_OCTAZOOKA,se_m_mega_kick2|se_m_self_destruct
191,MOVE_SPIKES,se_m_jump_kick|se_m_horn_attack|se_m_jump_kick|se_m_horn_attack|se_m_horn_attack
192,MOVE_ZAP_CANNON,se_m_thunder_wave|se_m_thunderbolt2
193,MOVE_ICE_SHARD,se_m_icy_wind|se_m_horn_attack|se_m_horn_attack|se_m_horn_attack
194,MOVE_SHADOW_SNEAK,se_m_faint_attack|se_m_vital_throw2
195,MOVE_DRAGON_PULSE,se_m_psybeam
196,MOVE_ICY_WIND,se_m_icy_wind|se_m_gust|se_m_gust2
197,MOVE_DETECT,se_m_detect
198,MOVE_BONE_RUSH,se_m_bonemerang|se_m_horn_attack
199,MOVE_LOCK_ON,
200,MOVE_OUTRAGE,
201,MOVE_SANDSTORM,se_m_sandstorm
202,MOVE_GIGA_DRAIN,se_m_absorb|se_m_giga_drain|se_m_giga_drain|se_m_giga_drain|se_m_giga_drain|se_m_giga_drain|se_m_giga_drain|se_m_giga_drain|se_m_giga_drain
203,MOVE_ENDURE,se_m_dragon_rage
204,MOVE_CHARM,se_m_charm|se_m_charm|se_m_charm
205,MOVE_ROLLOUT,se_m_mega_kick2
206,MOVE_FALSE_SWIPE,se_m_vital_throw|se_m_double_team|se_m_double_team|se_m_double_team|se_m_comet_punch
207,MOVE_SWAGGER,se_m_swagger|se_m_swagger2|se_m_swagger2
208,MOVE_MILK_DRINK,se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_milk_drink
209,MOVE_SPARK,se_m_thunderbolt2|se_m_thunderbolt2|se_m_thunderbolt2|se_m_hyper_beam
210,MOVE_FURY_CUTTER,se_m_razor_wind
211,MOVE_STEEL_WING,se_m_razor_wind
212,MOVE_DRAIN_PUNCH,se_m_vital_throw2
213,MOVE_ATTRACT,se_m_attract|se_m_attract2
214,MOVE_SLEEP_TALK,se_m_snore|se_m_snore|se_m_snore
215,MOVE_HEAL_BELL,se_m_morning_sun|se_shiny
216,MOVE_RETURN,
217,MOVE_BULLDOZE,
218,MOVE_FRUSTRATION,
219,MOVE_SAFEGUARD,se_m_milk_drink|se_shiny
220,MOVE_PAIN_SPLIT,se_m_swagger2|se_m_swagger2|se_m_swagger2
221,MOVE_SACRED_FIRE,se_m_sacred_fire2|se_m_sacred_fire2|se_m_sacred_fire2|se_m_flame_wheel2
222,MOVE_MAGNITUDE,
223,MOVE_DYNAMICPUNCH,se_m_vital_throw2|se_m_self_destruct|se_m_self_destruct|se_m_self_destruct|se_m_self_destruct|se_m_self_destruct
224,MOVE_MEGAHORN,se_m_dragon_rage|se_m_vicegrip
225,MOVE_DRAGONBREATH,
226,MOVE_BATON_PASS,se_m_baton_pass
227,MOVE_ENCORE,
228,MOVE_PURSUIT,
229,MOVE_RAPID_SPIN,se_m_double_slap
230,MOVE_SWEET_SCENT,se_m_sweet_scent
231,MOVE_IRON_TAIL,se_m_vital_throw2
232,MOVE_METAL_CLAW,se_m_razor_wind|se_m_razor_wind
233,MOVE_VITAL_THROW,se_m_vital_throw|se_m_vital_throw2
234,MOVE_MORNING_SUN,
235,MOVE_SYNTHESIS,se_m_mega_kick
236,MOVE_MOONLIGHT,se_m_moonlight
237,MOVE_WATER_TACKLE,se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer
238,MOVE_CROSS_CHOP,se_m_mega_kick|se_m_razor_wind
239,MOVE_TWISTER,se_m_twister|se_m_comet_punch|se_m_comet_punch|se_m_comet_punch|se_m_comet_punch
240,MOVE_RAIN_DANCE,se_m_rain_dance
241,MOVE_SUNNY_DAY,se_m_petal_dance
242,MOVE_CRUNCH,se_m_bite|se_m_bite
243,MOVE_MIRROR_COAT,se_m_reflect
244,MOVE_PSYCH_UP,se_m_psybeam
245,MOVE_EXTREMESPEED,se_m_comet_punch|se_m_comet_punch|se_m_vital_throw2
246,MOVE_ANCIENTPOWER,se_m_dragon_rage|se_m_self_destruct
247,MOVE_SHADOW_BALL,se_m_sand_attack
248,MOVE_LEAF_STORM,se_m_sweet_scent
249,MOVE_ROCK_SMASH,se_m_vital_throw2|se_m_rock_throw
250,MOVE_WHIRLPOOL,se_m_whirlpool
251,MOVE_BEAT_UP,
252,MOVE_FAKE_OUT,se_m_flatter|se_m_sketch
253,MOVE_UPROAR,se_m_uproar|se_m_uproar|se_m_uproar
254,MOVE_STOCKPILE,se_m_mega_kick
255,MOVE_SPIT_UP,se_m_take_down|se_m_spit_up|se_m_double_slap|se_m_double_slap
256,MOVE_SWALLOW,se_m_take_down|se_m_spit_up
257,MOVE_HEAT_WAVE,se_m_heat_wave
258,MOVE_HAIL,
259,MOVE_TORMENT,se_m_swagger2|se_m_swagger2
260,MOVE_FLATTER,
261,MOVE_WILL_O_WISP,se_m_ember|se_m_ember|se_m_flame_wheel2
262,MOVE_SCALD,se_m_hydro_pump
263,MOVE_FACADE,
264,MOVE_FOCUS_PUNCH,se_m_swagger|se_m_vital_throw2|se_m_vital_throw2|se_m_mega_kick2
265,MOVE_IRON_HEAD,se_m_headbutt|se_m_vital_throw2
266,MOVE_FOLLOW_ME,se_m_tail_whip|se_m_attract
267,MOVE_NATURE_POWER,se_m_dragon_rage|se_m_self_destruct
268,MOVE_CHARGE,se_m_charge|se_m_charge|se_m_charge|se_m_charge|se_m_charge|se_m_charge|se_m_thunderbolt2
269,MOVE_TAUNT,se_m_metronome|se_m_swagger2|se_m_swagger2
270,MOVE_HELPING_HAND,se_m_encore|se_m_encore|se_m_encore
271,MOVE_TRICK,se_m_sketch|se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team|se_m_double_team|se_m_attract
272,MOVE_MAGNET_BOMB,se_m_thunder_wave|se_m_thunderbolt2
273,MOVE_WISH,se_m_reflect
274,MOVE_MUD_BOMB,se_m_scratch|se_m_scratch|se_m_scratch|se_m_scratch
275,MOVE_INGRAIN,se_m_scratch|se_m_scratch|se_m_scratch|se_m_scratch|se_m_bubble3|se_m_bubble3|se_m_bubble3|se_m_bubble3
276,MOVE_SUPERPOWER,se_m_mega_kick|se_m_swagger|se_m_mega_kick2
277,MOVE_X_SCISSOR,se_m_razor_wind
278,MOVE_NIGHT_SLASH,se_m_razor_wind|se_m_razor_wind
279,MOVE_REVENGE,se_m_take_down|se_m_swagger|se_m_vital_throw2|se_m_mega_kick2
280,MOVE_BRICK_BREAK,se_m_vital_throw|se_m_vital_throw|se_m_vital_throw2|se_m_vital_throw|se_m_vital_throw|se_m_vital_throw2|se_m_brick_break
281,MOVE_YAWN,se_m_yawn|se_m_spit_up|se_m_yawn
282,MOVE_KNOCK_OFF,se_m_vital_throw|se_m_comet_punch
283,MOVE_ENDEAVOR,se_m_double_slap|se_m_comet_punch
284,MOVE_ERUPTION,se_m_explosion|se_m_explosion
285,MOVE_SKILL_SWAP,
286,MOVE_POWER_GEM,se_m_dragon_rage|se_m_self_destruct
287,MOVE_REFRESH,se_m_stat_increase|se_m_morning_sun|se_shiny
288,MOVE_MYSTICALFIRE,se_m_flame_wheel2
289,MOVE_SNATCH,se_m_take_down
290,MOVE_POISON_JAB,se_m_swagger|se_m_vital_throw2|se_m_mega_kick2
291,MOVE_PHANTOMFORCE,
292,MOVE_ARM_THRUST,se_m_swagger|se_m_double_slap
293,MOVE_SEED_BOMB,se_m_swagger
294,MOVE_TAIL_GLOW,
295,MOVE_STONE_EDGE,se_m_swagger|se_m_razor_wind|se_m_razor_wind|se_m_rock_throw
296,MOVE_SHELL_SMASH,se_m_vicegrip
297,MOVE_ROOST,se_m_petal_dance
298,MOVE_TEETER_DANCE,se_m_teeter_dance|se_m_teeter_dance|se_m_teeter_dance|se_m_teeter_dance|se_m_teeter_dance
299,MOVE_BLAZE_KICK,se_m_flame_wheel|se_m_fire_punch
300,MOVE_RAGE_POWDER,se_m_dig|se_m_dig|se_m_dig|se_m_bubble2|se_m_bubble2|se_m_bubble2|se_m_bubble2|se_m_bubble2|se_m_bubble2|se_m_bubble2|se_m_bubble2|se_m_bubble2|se_m_bubble2
301,MOVE_STONE_AXE,se_m_razor_wind2|se_m_razor_wind
302,MOVE_NEEDLE_ARM,se_m_vital_throw2
303,MOVE_SLACK_OFF,se_m_yawn
304,MOVE_HYPER_VOICE,
305,MOVE_POISON_FANG,se_m_bite
306,MOVE_CRUSH_CLAW,se_m_razor_wind|se_m_razor_wind
307,MOVE_BOOMBURST,
308,MOVE_INFESTATION,
309,MOVE_METEOR_MASH,se_m_barrier|se_m_vital_throw2
310,MOVE_ASTONISH,se_m_encore|se_m_sketch
311,MOVE_WEATHER_BALL,se_m_swagger|se_m_detect|se_m_mega_kick2|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel|se_m_flame_wheel2|se_m_crabhammer|se_m_crabhammer|se_m_crabhammer|se_m_giga_drain|se_m_rock_throw|se_m_rock_throw|se_m_rock_throw|se_m_strength|se_m_hail|se_m_hail|se_m_hail|se_m_icy_wind
312,MOVE_AROMATHERAPY,se_m_petal_dance|se_m_stat_increase|se_m_morning_sun|se_shiny
313,MOVE_FAKE_TEARS,
314,MOVE_AIR_CUTTER,se_m_cut
315,MOVE_OVERHEAT,se_m_dragon_rage|se_m_flame_wheel2|se_m_fire_punch|se_m_fire_punch|se_m_fire_punch|se_m_fire_punch
316,MOVE_POWERUPPUNCH,se_m_comet_punch|se_m_swagger
317,MOVE_ROCK_TOMB,se_m_strength|se_m_strength|se_m_strength|se_m_strength|se_m_hyper_beam
318,MOVE_SILVER_WIND,se_m_gust|se_m_morning_sun|se_m_gust2
319,MOVE_METAL_SOUND,
320,MOVE_HEAD_SMASH,se_m_headbutt|se_m_vital_throw2
321,MOVE_TICKLE,se_m_detect
322,MOVE_COSMIC_POWER,se_m_cosmic_power
323,MOVE_WATER_SPOUT,se_m_headbutt|se_m_dive|se_m_surf
324,MOVE_SIGNAL_BEAM,se_m_bubble_beam
325,MOVE_SHADOW_PUNCH,se_m_jump_kick|se_m_comet_punch
326,MOVE_EXTRASENSORY,se_m_bind|se_m_bind|se_m_leer
327,MOVE_SKY_UPPERCUT,se_m_sky_uppercut|se_m_vital_throw2|se_m_vital_throw2|se_m_vital_throw2|se_m_vital_throw2|se_m_vital_throw2|se_m_vital_throw2
328,MOVE_SAND_TOMB,se_m_sand_tomb
329,MOVE_HIHORSEPOWER,se_m_double_team|se_m_mega_kick2
